Date,Open,Adj. High,Adj. Low,Close,Adj. Close,Volume
2005-10-15,6.964877,7.351958,6.607473,55.660000,7.181643,1097398400
2005-10-22,7.128740,7.426794,6.989392,54.469997,7.028100,721950600
2005-10-29,7.122290,8.040964,7.064228,61.149998,7.889998,1077502300
2005-11-05,7.851293,8.013868,7.613884,61.540001,7.940322,689080000
2005-11-12,7.940322,8.500296,7.859035,64.560005,8.329983,723114000
2005-11-19,8.363530,8.972539,8.221602,69.339996,8.946733,483214900
2005-11-26,9.124789,9.385425,8.689969,72.629997,9.371231,1053570700
2005-12-03,9.283489,9.655093,9.224140,74.330002,9.590576,866511800
2005-12-10,9.660250,9.736376,9.066726,71.110001,9.175110,925465100
2005-12-17,9.175110,9.611220,9.166077,73.350006,9.464130,521152100
2005-12-24,9.547997,9.700251,9.075757,71.889999,9.275754,525748300
2005-12-31,9.338974,9.896370,9.322201,76.299995,9.844760,645179500
2006-01-07,9.900241,11.147933,9.772506,85.590004,11.043421,1626454900
2006-01-14,11.057614,11.145353,9.784117,76.089996,9.817665,1216716900
2006-01-21,9.818953,10.265388,9.173820,72.029999,9.293814,1403255700
2006-01-28,9.182851,9.883466,9.144141,71.850006,9.270588,1058143800
2006-02-04,9.292523,9.355747,8.115799,67.309998,8.684808,1725988600
2006-02-11,8.597069,9.162210,8.340306,70.290001,9.069305,1182095600
2006-02-18,9.108015,9.418970,8.773837,71.459999,9.220271,787376800
2006-02-25,9.288652,9.341557,8.713192,67.720001,8.737708,1046245200
2006-03-04,8.733836,8.737708,8.057736,63.189999,8.153214,1070310500
2006-03-11,8.393205,8.778997,8.271919,64.659996,8.342886,989221100
2006-03-18,8.415139,8.446109,7.616464,59.959999,7.736459,1449127400
2006-03-25,7.786779,8.207408,7.440987,62.720001,8.092573,1757809200
2006-04-01,8.215150,9.296395,7.877100,69.790001,9.004794,2047532900
2006-04-08,9.069305,9.151885,8.491267,66.470001,8.576423,829350900
2006-04-15,8.581584,9.031888,8.302886,67.040001,8.649967,1264696300
2006-04-22,8.625454,9.199625,8.451266,70.389999,9.082209,888240500
2006-04-29,9.131240,9.404778,8.923507,71.889999,9.275754,908341700
2006-05-06,9.417681,9.522193,8.626744,67.699997,8.735128,760217500
2006-05-13,8.692550,8.822866,8.105477,64.510002,8.323531,966105000
2006-05-20,8.240953,8.411269,7.942900,63.549999,8.199664,806435700
2006-05-27,8.166120,8.167411,7.572593,61.660004,7.955805,868168700
2006-06-03,7.889998,7.942900,7.373892,59.240002,7.643558,1063912500
2006-06-10,7.664204,7.708072,7.314541,57.560001,7.426794,1176262500
2006-06-17,7.461633,7.763556,7.354539,58.829998,7.590659,966670600
2006-06-24,7.634527,7.640980,7.149386,57.270004,7.389377,870236500
2006-07-01,7.421634,7.506790,7.053905,55.400002,7.148095,536395300
2006-07-08,7.186804,7.288735,6.471993,50.670002,6.537797,1131160100
2006-07-15,6.674566,7.946774,6.664243,60.720001,7.834522,1569943200
2006-07-22,7.904195,8.474493,7.797101,65.589996,8.462879,909226500
2006-07-29,8.622873,9.031888,8.381595,68.300003,8.812543,1212321600
2006-08-05,8.737708,8.980278,8.074511,63.650002,8.212568,1168626200
2006-08-12,8.264178,8.858993,8.206116,67.909996,8.762223,869439900
2006-08-19,8.683516,8.909315,8.535134,68.750000,8.870605,709650900
2006-08-26,8.838347,8.857704,8.402238,68.380005,8.822866,837207000
